epoch,accuracy,val_accuracy,loss,val_loss
1,0.4209,0.5648,1.4448,1.1504
2,0.7279,0.7309,0.8993,0.9017
3,0.8599,0.804,0.7202,0.7701
4,0.8966,0.8306,0.6033,0.6434
5,0.9231,0.9236,0.5253,0.5572
6,0.9371,0.9236,0.4889,0.5352
7,0.9333,0.9502,0.4503,0.4892
8,0.949,0.9502,0.4225,0.4517
9,0.9479,0.9668,0.4103,0.4153
10,0.9606,0.9668,0.369,0.4036
11,0.9676,0.9734,0.3747,0.3841
12,0.961,0.9734,0.3662,0.3579
13,0.9661,0.9734,0.349,0.3541
14,0.9698,0.9734,0.3514,0.353
15,0.9696,0.9801,0.3316,0.332
16,0.9673,0.9668,0.3343,0.3314
17,0.9762,0.9801,0.3282,0.3104
18,0.9852,0.9801,0.2898,0.3129
19,0.9837,0.9834,0.301,0.2995
20,0.9763,0.9867,0.3139,0.2948
21,0.9723,0.9801,0.3103,0.297
22,0.9878,0.9834,0.2896,0.2867
23,0.9912,0.9867,0.2831,0.2813
24,0.9828,0.99,0.2974,0.281
25,0.99,0.9834,0.2816,0.2898
26,0.9848,0.9701,0.2755,0.295
27,0.9834,0.9834,0.2931,0.2797
28,0.9919,0.9734,0.2672,0.2941
29,0.9914,0.9734,0.2687,0.2917
30,0.9924,0.9867,0.2624,0.2767
31,0.994,0.9834,0.2646,0.2773
32,0.9934,0.9867,0.2628,0.2702
